Relay URL,Latitude,Longitude
relay.stream.labs.h3.se,59.4016,17.9455
relay.basspistol.org,46.2044,6.14316
nostr.luisschwab.net,43.6532,-79.3832
relay.nostr.wirednet.jp,34.706,135.493
wot.nostr.party,36.1627,-86.7816
nostr-relay.corb.net,38.8353,-104.822
relay.snort.social,53.3498,-6.26031
relay.letsfo.com,51.098,17.0321
shu04.shugur.net,25.2604,55.2989
nostr-relay.psfoundation.info,39.0438,-77.4874
relay.coinos.io,43.6532,-79.3832
divine.diy,43.6532,-79.3832
relay.siamdev.cc,13.9178,100.424
nostr-relay.online,43.6532,-79.3832
khatru.nostrver.se,51.5792,4.58333
nostr.tac.lol,47.4748,-122.273
a.nos.lol,50.4754,12.3683
relay.fundstr.me,42.3601,-71.0589
relay.getsafebox.app,43.6532,-79.3832
ithurtswhenip.ee,51.223,6.78245
nostr-03.dorafactory.org,1.35208,103.82
strfry.felixzieger.de,50.1013,8.62643
nostr.myshosholoza.co.za,52.3676,4.90414
relay.hook.cafe,43.6532,-79.3832
nos.lol,50.4754,12.3683
relay-freeharmonypeople.space,38.7223,-9.13934
nostr.now,36.55,139.733
relay.jeffg.fyi,43.6532,-79.3832
relay.nostr.vet,52.6467,4.7395
nostr.night7.space,50.4754,12.3683
nostr.satstralia.com,64.1476,-21.9392
srtrelay.c-stellar.net,43.6532,-79.3832
relay.anmore.me,49.6735,-124.928
nostr.noones.com,50.1109,8.68213
relay.agorist.space,52.3734,4.89406
nostr-relay.cbrx.io,43.6532,-79.3832
nostr.tadryanom.me,43.6532,-79.3832
nostr.rikmeijer.nl,50.4754,12.3683
simplex.icu,50.8198,-1.08798
nostr-01.yakihonne.com,1.32123,103.695
nostr.notribe.net,40.8302,-74.1299
relay.wavlake.com,41.2619,-95.8608
relay.puresignal.news,43.6532,-79.3832
librerelay.aaroniumii.com,43.6532,-79.3832
nostr.chaima.info,51.223,6.78245
wot.sebastix.social,51.5792,4.58333
relay.uid.ovh,43.6532,-79.3832
nostr.calitabby.net,39.9268,-75.0246
relay.tagayasu.xyz,43.6715,-79.38
relay.thebluepulse.com,49.4521,11.0767
dev-nostr.bityacht.io,25.0797,121.234
nostr.88mph.life,60.1699,24.9384
nostr.sathoarder.com,48.5734,7.75211
nostr.red5d.dev,43.6532,-79.3832
relay.nostrcheck.me,43.6532,-79.3832
relay.libernet.app,37.7803,-122.39
notemine.io,52.2026,20.9397
nostr.mom,50.4754,12.3683
soloco.nl,43.6532,-79.3832
freeben666.fr,43.7221,7.15296
relay.nostrhub.fr,48.1045,11.6004
relay.nostriches.club,43.6532,-79.3832
nostr.spicyz.io,43.6532,-79.3832
nostr.ovia.to,43.6532,-79.3832
relay.chakany.systems,43.6532,-79.3832
no.str.cr,9.92857,-84.0528
nostr-verified.wellorder.net,45.5201,-122.99
relay.evanverma.com,40.8302,-74.1299
purplerelay.com,50.1109,8.68213
relay.nostr-check.me,43.6532,-79.3832
relay.artx.market,43.652,-79.3633
nostr-rs-relay-ishosta.phamthanh.me,43.6532,-79.3832
relay.wavefunc.live,34.0362,-118.443
relay.trustroots.org,43.6532,-79.3832
nostr-02.uid.ovh,43.6532,-79.3832
relay.nostr.net,43.6532,-79.3832
relay04.lnfi.network,39.0997,-94.5786
relay2.ngengine.org,43.6532,-79.3832
nostr-02.czas.top,53.471,9.88208
nostr.mehdibekhtaoui.com,49.4939,-1.54813
nostr.openhoofd.nl,51.9229,4.40833
relay.chorus.community,50.1109,8.68213
relay.21e6.cz,50.7383,15.0648
wheat.happytavern.co,43.6532,-79.3832
relay.2nix.de,60.1699,24.9384
relay.thibautduchene.fr,43.6532,-79.3832
nostr.blankfors.se,60.1699,24.9384
relay.davidebtc.me,50.1109,8.68213
articles.layer3.news,37.3387,-121.885
relay.0xchat.com,1.35208,103.82
relay.wolfcoil.com,35.6092,139.73
nostr.rtvslawenia.com,49.4543,11.0746
relay.olas.app,50.4754,12.3683
wot.yesnostr.net,50.9871,2.12554
relay03.lnfi.network,39.0997,-94.5786
relay.degmods.com,50.4754,12.3683
relay.lumina.rocks,49.0291,8.35695
wot.dergigi.com,64.1476,-21.9392
relay.nostriot.com,41.5695,-83.9786
relay.dwadziesciajeden.pl,52.2297,21.0122
relay.nostrhub.tech,49.0291,8.35696
relay.mostro.network,40.8302,-74.1299
offchain.pub,47.6743,-117.112
relay01.lnfi.network,39.0997,-94.5786
nostrcheck.tnsor.network,43.6532,-79.3832
chat-relay.zap-work.com,43.6532,-79.3832
nostrue.com,40.8054,-74.0241
relay.credenso.cafe,43.3601,-80.3127
nostr.kalf.org,52.3676,4.90414
adre.su,59.9311,30.3609
relay.wellorder.net,45.5201,-122.99
ribo.eu.nostria.app,52.3676,4.90414
nostr.jerrynya.fun,31.2304,121.474
nostr.agentcampfire.com,50.8933,6.05805
nostr.ps1829.com,33.8851,130.883
nostr.4rs.nl,49.0291,8.35696
x.kojira.io,43.6532,-79.3832
pyramid.fiatjaf.com,51.5072,-0.127586
nostr-relay.xbytez.io,50.6924,3.20113
relay.mattybs.lol,43.6532,-79.3832
relay.javi.space,43.4633,11.8796
bitcoiner.social,39.1585,-94.5728
nostr.azzamo.net,52.2633,21.0283
dizzyspells.nostr1.com,40.7128,-74.006
relay.bitcoinartclock.com,50.4754,12.3683
relayone.soundhsa.com,33.1384,-95.6011
fenrir-s.notoshi.win,43.6532,-79.3832
relay.complexalpha.com,39.0067,-77.4291
wot.nostr.place,30.2672,-97.7431
bcast.girino.org,43.6532,-79.3832
alienos.libretechsystems.xyz,55.4724,9.87335
relay.zone667.com,60.1699,24.9384
relay.cosmicbolt.net,37.3986,-121.964
nostr.overmind.lol,37.7803,-122.39
nostr.21crypto.ch,47.5356,8.73209
nostr.davidebtc.me,50.1109,8.68213
nostr.huszonegy.world,47.4979,19.0402
wot.dtonon.com,43.6532,-79.3832
nostr-2.21crypto.ch,47.5356,8.73209
inbox.azzamo.net,52.2633,21.0283
relay.samt.st,40.8302,-74.1299
nostr.veladan.dev,43.6532,-79.3832
relay5.bitransfer.org,43.6532,-79.3832
portal-relay.pareto.space,49.0291,8.35696
nproxy.kristapsk.lv,60.1699,24.9384
nostr.zoracle.org,45.6018,-121.185
relayone.geektank.ai,18.2148,-63.0574
nostr-relay.zimage.com,34.282,-118.439
relay.ru.ac.th,13.7584,100.622
relay.internationalright-wing.org,-22.5022,-48.7114
strfry.elswa-dev.online,50.1109,8.68213
satsage.xyz,37.3986,-121.964
wot.nostr.net,43.6532,-79.3832
relay.islandbitcoin.com,12.8498,77.6545
relay.ngengine.org,43.6532,-79.3832
nostr.girino.org,43.6532,-79.3832
dev-relay.lnfi.network,39.0997,-94.5786
strfry.shock.network,39.0438,-77.4874
relay.damus.io,43.6532,-79.3832
nostr-relay.nextblockvending.com,47.2343,-119.853
wot.soundhsa.com,33.1384,-95.6011
purpura.cloud,43.6532,-79.3832
relay.satlantis.io,32.8769,-80.0114
relay.vrtmrz.net,43.6532,-79.3832
nostr.casa21.space,43.6532,-79.3832
prl.plus,56.9677,24.1056
nostr.bitcoiner.social,39.1585,-94.5728
nostr.vulpem.com,49.4543,11.0746
espelho.girino.org,43.6532,-79.3832
relay.orangepill.ovh,49.1689,-0.358841
relay.angor.io,48.1046,11.6002
nostrelay.circum.space,52.3676,4.90414
relay-dev.satlantis.io,40.8302,-74.1299
relay.electriclifestyle.com,26.2897,-80.1293
nostr2.girino.org,43.6532,-79.3832
nos.xmark.cc,50.6924,3.20113
nostr.hekster.org,37.3986,-121.964
relay.primal.net,43.6532,-79.3832
wot.shaving.kiwi,43.6532,-79.3832
relay.bitcoindistrict.org,43.6532,-79.3832
relay.cypherflow.ai,48.8566,2.35222
nostr.stakey.net,52.3676,4.90414
nostr.spaceshell.xyz,43.6532,-79.3832
alien.macneilmediagroup.com,43.6532,-79.3832
nostr.snowbla.de,60.1699,24.9384
relay.nosto.re,51.5792,4.58333
premium.primal.net,43.6532,-79.3832
black.nostrcity.club,41.8781,-87.6298
relay.arx-ccn.com,50.4754,12.3683
nostream.breadslice.com,1.35208,103.82
ynostr.yael.at,60.1699,24.9384
nostr.oxtr.dev,50.4754,12.3683
nostr.rblb.it,43.7094,10.6582
relay.moinsen.com,50.4754,12.3683
shu05.shugur.net,48.8566,2.35222
relay.etch.social,41.2619,-95.8608
nostr-relay.amethyst.name,39.0438,-77.4874
relay.guggero.org,47.3769,8.54169
temp.iris.to,43.6532,-79.3832
nostr.camalolo.com,24.1469,120.684
nostr.coincards.com,53.5501,-113.469
relay.routstr.com,43.6532,-79.3832
relay.fr13nd5.com,52.5233,13.3426
relay-rpi.edufeed.org,49.4521,11.0767
